"point_of_sale_id","super_catalog_id","unidades_pedidas","precio_minimo"
1749,"1306881054163",5.000,54.550
1750,"1306881054163",10.000,46.100
1748,"1306881054170",10.000,59.830
1750,"1306881054170",3.000,59.830
1741,"1306881054187",10.000,55.780
1748,"1306881054187",8.000,55.780
1749,"1306881054187",2.000,58.780
1750,"1306881054187",6.000,55.780
1527,"1306881056105",10.000,87.420
1748,"1306881056105",23.000,87.420
1741,"13117000689",2.000,161.220
1114,"13117000696",2.000,138.350
1415,"13117000696",1.000,187.820
1741,"13117000696",1.000,187.820
1415,"13117000702",1.000,213.840
1415,"13117000719",1.000,245.750
1741,"13117010879",3.000,37.000
1750,"13117011180",2.000,150.250
1741,"13117012194",2.000,101.600
1750,"13117012194",2.000,100.560
2078,"13117012682",8.000,33.910
2087,"13117016314",15.000,106.430
2087,"13117017830",22.000,8.850
1415,"13117019971",1.000,263.100
2237,"13117022858",3.000,276.640
2087,"13117029383",34.000,18.890
1320,"13117053142",2.000,46.940
1750,"13117053142",2.000,43.500
724,"13117054149",1.000,53.780
725,"13117054149",1.000,53.780
1501,"1341056234278",1.000,38.440
2138,"1341056234278",2.000,42.570
1183,"1430561070003",1.000,237.000
1291,"1430561070003",1.000,237.000
1320,"15228123462",2.000,48.890
1741,"15228123462",2.000,48.890
1748,"15228123462",1.000,48.890
1750,"15228123462",2.000,48.890
1682,"15718306009",1.000,332.420
1421,"17501048660497",1.000,187.450
1224,"17501128113127",1.000,190.120
1224,"17501128113226",1.000,214.860
1445,"17501128113226",1.000,218.300
2176,"17502224240656",1.000,153.090
1114,"190679000064",1.000,116.140
1170,"190679000064",1.000,116.140
1590,"190679000088",1.000,116.140
2139,"190679000088",2.000,116.140
2139,"190679000187",3.000,116.140
1680,"19100171411",3.000,97.160
1311,"19100219205",1.000,97.160
1601,"19100219205",4.000,97.160
1170,"20800307642",4.000,45.550
2087,"20800307642",3.000,45.550
2274,"20800307642",4.000,49.700
1278,"20800600330",7.000,44.120
1572,"20800600330",3.000,44.120
1576,"20800600330",2.000,44.120
1601,"20800600330",3.000,44.120
1750,"20800600330",1.000,44.120
1790,"20800600330",3.000,44.120
1824,"20800600330",3.000,43.350
2269,"20800600330",2.000,44.120
721,"20800600347",5.000,41.520
722,"20800600347",4.000,42.800
1114,"20800600347",16.000,41.090
1170,"20800600347",3.000,42.360
1320,"20800600347",5.000,39.110
1599,"20800600347",5.000,42.360
1681,"20800600347",2.000,38.490
1720,"20800600347",3.000,41.050
1824,"20800600347",1.000,39.790
2075,"20800600347",10.000,42.360
2237,"20800600347",2.000,39.790
2269,"20800600347",3.000,42.360
2278,"20800600347",8.000,41.890
1114,"20800753050",2.000,127.100
1170,"20800753050",1.000,129.570
1311,"20800753050",7.000,127.760
1320,"20800753050",1.000,139.510
1421,"20800753050",1.000,127.760
1445,"20800753050",3.000,127.760
1517,"20800753050",3.000,129.130
1518,"20800753050",1.000,135.210
1519,"20800753050",2.000,135.210
1527,"20800753050",1.000,121.200
1575,"20800753050",1.000,133.790
1577,"20800753050",1.000,127.100
1616,"20800753050",3.000,127.100
1679,"20800753050",15.000,124.020
1681,"20800753050",4.000,133.790
1682,"20800753050",7.000,124.020
1720,"20800753050",1.000,127.760
1749,"20800753050",1.000,131.710
1824,"20800753050",1.000,128.570
2063,"20800753050",1.000,129.130
2075,"20800753050",8.000,125.930
2136,"20800753050",1.000,127.100
1101,"20800753067",1.000,77.870
1102,"20800753067",1.000,77.260
1114,"20800753067",7.000,76.440
1170,"20800753067",3.000,74.890
1192,"20800753067",2.000,78.760
1265,"20800753067",36.000,70.870
1311,"20800753067",11.000,77.640
1415,"20800753067",1.000,81.330
1421,"20800753067",1.000,77.640
1445,"20800753067",1.000,77.640
1477,"20800753067",2.000,77.260
1501,"20800753067",8.000,70.700
1517,"20800753067",3.000,78.480
1518,"20800753067",2.000,82.190
1519,"20800753067",6.000,80.040
1527,"20800753067",7.000,70.700
1575,"20800753067",2.000,77.260
1577,"20800753067",1.000,77.260
1599,"20800753067",6.000,77.767
1601,"20800753067",8.000,77.260
1680,"20800753067",2.000,81.330
1682,"20800753067",5.000,77.870
1696,"20800753067",7.000,77.640
1710,"20800753067",5.000,77.260
1720,"20800753067",2.000,77.640
1741,"20800753067",2.000,69.300
1748,"20800753067",2.000,69.300
1749,"20800753067",1.000,69.300
2063,"20800753067",8.000,77.640
2075,"20800753067",2.000,69.290
2087,"20800753067",2.000,81.330
2135,"20800753067",1.000,77.767
2136,"20800753067",1.000,75.260
2138,"20800753067",8.000,77.260
2139,"20800753067",4.000,77.260
2199,"20800753067",2.000,82.190
2237,"20800753067",5.000,78.140
2241,"20800753067",1.000,81.330
2243,"20800753067",1.000,81.330
2278,"20800753067",2.000,77.870
1102,"20800755719",1.000,91.490
1114,"20800755719",4.000,89.990
1501,"20800755719",6.000,90.100
1519,"20800755719",1.000,94.730
1577,"20800755719",2.000,90.940
1673,"20800755719",12.000,90.940
1679,"20800755719",1.000,89.350
1696,"20800755719",2.000,89.530
1710,"20800755719",3.000,90.940
1741,"20800755719",1.000,95.270
1750,"20800755719",1.000,94.730
1824,"20800755719",1.000,92.240
2063,"20800755719",4.000,85.000
2078,"20800755719",13.000,95.270
2090,"20800755719",1.000,90.770
1097,"20800755726",1.000,147.420
1311,"20800755726",4.000,146.430
1501,"20800755726",8.000,147.360
1519,"20800755726",2.000,150.960
1616,"20800755726",1.000,146.430
1682,"20800755726",1.000,146.140
1720,"20800755726",1.000,151.150
1097,"20800756440",1.000,76.850
1114,"20800756440",1.000,78.910
1170,"20800756440",2.000,83.060
1311,"20800756440",1.000,80.140
1325,"20800756440",2.000,78.910
1477,"20800756440",1.000,78.910
1517,"20800756440",4.000,80.170
1572,"20800756440",2.000,78.080
1577,"20800756440",1.000,78.080
1599,"20800756440",2.000,80.070
1616,"20800756440",2.000,77.660
1673,"20800756440",3.000,80.850
